id,pert,gene,task,label
de_Bloc1s1_Creg1,Bloc1s1,Creg1,de,1
de_Bloc1s1_Sqstm1,Bloc1s1,Sqstm1,de,1
de_Bloc1s1_Tmcc3os,Bloc1s1,Tmcc3os,de,0
de_Bloc1s1_Bbs1,Bloc1s1,Bbs1,de,0
de_Bloc1s1_Spata7,Bloc1s1,Spata7,de,0
de_Bloc1s1_Tlk1,Bloc1s1,Tlk1,de,0
de_Bloc1s1_Cyp39a1,Bloc1s1,Cyp39a1,de,0
de_Bop1_Cdkn1a,Bop1,Cdkn1a,de,1
de_Bop1_Cd69,Bop1,Cd69,de,1
de_Bop1_Gm43573,Bop1,Gm43573,de,0
de_Bop1_Git1,Bop1,Git1,de,0
de_Bop1_Padi2,Bop1,Padi2,de,0
de_Bop1_Rnf167,Bop1,Rnf167,de,0
de_Bop1_Gm16973,Bop1,Gm16973,de,0
de_Bptf_Ly9,Bptf,Ly9,de,1
de_Bptf_Clec4a2,Bptf,Clec4a2,de,1
de_Bptf_Usp37,Bptf,Usp37,de,0
de_Bptf_1700034H15Rik,Bptf,1700034H15Rik,de,0
de_Bptf_Uap1,Bptf,Uap1,de,0
de_Bptf_Gm26520,Bptf,Gm26520,de,0
de_Bptf_E2f6,Bptf,E2f6,de,0
de_Cfdp1_Cdkn1a,Cfdp1,Cdkn1a,de,1
de_Cfdp1_H2-Q7,Cfdp1,H2-Q7,de,1
de_Cfdp1_Smad6,Cfdp1,Smad6,de,0
de_Cfdp1_Cluap1,Cfdp1,Cluap1,de,0
de_Cfdp1_Cenpa,Cfdp1,Cenpa,de,0
de_Cfdp1_Adamts4,Cfdp1,Adamts4,de,0
de_Cfdp1_Pop5,Cfdp1,Pop5,de,0
de_Chd4_Rhoc,Chd4,Rhoc,de,1
de_Chd4_Creg1,Chd4,Creg1,de,1
de_Chd4_Pgap2,Chd4,Pgap2,de,0
de_Chd4_Sgk3,Chd4,Sgk3,de,0
de_Chd4_Slc45a3,Chd4,Slc45a3,de,0
de_Chd4_Gm32585,Chd4,Gm32585,de,0
de_Chd4_Foxp4,Chd4,Foxp4,de,0
de_Chmp3_Rsad2,Chmp3,Rsad2,de,1
de_Chmp3_Il15,Chmp3,Il15,de,1
de_Chmp3_Sptlc2,Chmp3,Sptlc2,de,0
de_Chmp3_Krtcap3,Chmp3,Krtcap3,de,0
de_Chmp3_Idua,Chmp3,Idua,de,0
de_Chmp3_Aatk,Chmp3,Aatk,de,0
de_Chmp3_Sec61a2,Chmp3,Sec61a2,de,0
de_Ctcf_Acaa2,Ctcf,Acaa2,de,1
de_Ctcf_Prdx4,Ctcf,Prdx4,de,1
de_Ctcf_Ttyh2,Ctcf,Ttyh2,de,0
de_Ctcf_BC051226,Ctcf,BC051226,de,0
de_Ctcf_Sat2,Ctcf,Sat2,de,0
de_Ctcf_Spats2l,Ctcf,Spats2l,de,0
de_Ctcf_Cacna1d,Ctcf,Cacna1d,de,0
de_Ctdnep1_Slamf7,Ctdnep1,Slamf7,de,1
de_Ctdnep1_Il1rn,Ctdnep1,Il1rn,de,1
de_Ctdnep1_Robo2,Ctdnep1,Robo2,de,0
de_Ctdnep1_Or8b54,Ctdnep1,Or8b54,de,0
de_Ctdnep1_Triobp,Ctdnep1,Triobp,de,0
de_Ctdnep1_Gm46224,Ctdnep1,Gm46224,de,0
de_Ctdnep1_Prss46,Ctdnep1,Prss46,de,0
de_Ctdspl2_Ifi27l2a,Ctdspl2,Ifi27l2a,de,1
de_Ctdspl2_Aif1,Ctdspl2,Aif1,de,1
de_Ctdspl2_Qrich1,Ctdspl2,Qrich1,de,0
de_Ctdspl2_Slc12a6,Ctdspl2,Slc12a6,de,0
de_Ctdspl2_Nmt2,Ctdspl2,Nmt2,de,0
de_Ctdspl2_Rhobtb1,Ctdspl2,Rhobtb1,de,0
de_Ctdspl2_Tmem100,Ctdspl2,Tmem100,de,0
de_Ddx6_Lpl,Ddx6,Lpl,de,1
de_Ddx6_Spp1,Ddx6,Spp1,de,1
de_Ddx6_Gtf2f1,Ddx6,Gtf2f1,de,0
de_Ddx6_Cwf19l2,Ddx6,Cwf19l2,de,0
de_Ddx6_1700017B05Rik,Ddx6,1700017B05Rik,de,0
de_Ddx6_A230072E10Rik,Ddx6,A230072E10Rik,de,0
de_Ddx6_Thbd,Ddx6,Thbd,de,0
de_Derl2_Hspa5,Derl2,Hspa5,de,1
de_Derl2_Calr,Derl2,Calr,de,1
de_Derl2_Arl1,Derl2,Arl1,de,0
de_Derl2_Zfp251,Derl2,Zfp251,de,0
de_Derl2_Gm17399,Derl2,Gm17399,de,0
de_Derl2_Rnf34,Derl2,Rnf34,de,0
de_Derl2_Chaf1b,Derl2,Chaf1b,de,0
de_Dhx15_Ftl1,Dhx15,Ftl1,de,1
de_Dhx15_Ftl1-ps1,Dhx15,Ftl1-ps1,de,1
de_Dhx15_Marchf1,Dhx15,Marchf1,de,0
de_Dhx15_Nop16,Dhx15,Nop16,de,0
de_Dhx15_Tbc1d15,Dhx15,Tbc1d15,de,0
de_Dhx15_Gmeb2,Dhx15,Gmeb2,de,0
de_Dhx15_Dpp6,Dhx15,Dpp6,de,0
de_Ehmt2_Gstm1,Ehmt2,Gstm1,de,1
de_Ehmt2_Gm14461,Ehmt2,Gm14461,de,1
de_Ehmt2_Trim26,Ehmt2,Trim26,de,0
de_Ehmt2_Zfp764,Ehmt2,Zfp764,de,0
de_Ehmt2_Wdr33,Ehmt2,Wdr33,de,0
de_Ehmt2_Lrrc8dos,Ehmt2,Lrrc8dos,de,0
de_Ehmt2_Col4a3,Ehmt2,Col4a3,de,0
de_Eif1ad_Calr,Eif1ad,Calr,de,1
de_Eif1ad_Eif5,Eif1ad,Eif5,de,1
de_Eif1ad_Sowahc,Eif1ad,Sowahc,de,0
de_Eif1ad_Gm31763,Eif1ad,Gm31763,de,0
de_Eif1ad_Gnpda1,Eif1ad,Gnpda1,de,0
de_Eif1ad_Capns2,Eif1ad,Capns2,de,0
de_Eif1ad_Il2ra,Eif1ad,Il2ra,de,0
de_Eif2s1_Chchd10,Eif2s1,Chchd10,de,1
de_Eif2s1_Mt2,Eif2s1,Mt2,de,1
de_Eif2s1_H4c14,Eif2s1,H4c14,de,0
de_Eif2s1_Hirip3,Eif2s1,Hirip3,de,0
de_Eif2s1_Trim13,Eif2s1,Trim13,de,0
de_Eif2s1_Gm56817,Eif2s1,Gm56817,de,0
de_Eif2s1_A930006K02Rik,Eif2s1,A930006K02Rik,de,0
de_Fzr1_Morrbid,Fzr1,Morrbid,de,1
de_Fzr1_Dnajc1,Fzr1,Dnajc1,de,1
de_Fzr1_Slc26a2,Fzr1,Slc26a2,de,0
de_Fzr1_Gmps,Fzr1,Gmps,de,0
de_Fzr1_Trpm4,Fzr1,Trpm4,de,0
de_Fzr1_Dgat1,Fzr1,Dgat1,de,0
de_Fzr1_Ednrb,Fzr1,Ednrb,de,0
de_Gemin5_Cdkn1a,Gemin5,Cdkn1a,de,1
de_Gemin5_H2bc4,Gemin5,H2bc4,de,1
de_Gemin5_Acaa1b,Gemin5,Acaa1b,de,0
de_Gemin5_Pdzk1ip1,Gemin5,Pdzk1ip1,de,0
de_Gemin5_Gm15952,Gemin5,Gm15952,de,0
de_Gemin5_B3gnt8,Gemin5,B3gnt8,de,0
de_Gemin5_Ttyh3,Gemin5,Ttyh3,de,0
de_Gins2_Fcgr2b,Gins2,Fcgr2b,de,1
de_Gins2_Ass1,Gins2,Ass1,de,1
de_Gins2_Rab9,Gins2,Rab9,de,0
de_Gins2_Rab4a,Gins2,Rab4a,de,0
de_Gins2_1810006J02Rik,Gins2,1810006J02Rik,de,0
de_Gins2_Sv2a,Gins2,Sv2a,de,0
de_Gins2_Gm32364,Gins2,Gm32364,de,0
de_Hyou1_Hspa5,Hyou1,Hspa5,de,1
de_Hyou1_Hsp90b1,Hyou1,Hsp90b1,de,1
de_Hyou1_Camk2n1,Hyou1,Camk2n1,de,0
de_Hyou1_Ipo13,Hyou1,Ipo13,de,0
de_Hyou1_Tubgcp4,Hyou1,Tubgcp4,de,0
de_Hyou1_Gm56790,Hyou1,Gm56790,de,0
de_Hyou1_Rsph3a,Hyou1,Rsph3a,de,0
de_Ifnar1_Ifi209,Ifnar1,Ifi209,de,1
de_Ifnar1_Ifi205,Ifnar1,Ifi205,de,1
de_Ifnar1_Fabp12,Ifnar1,Fabp12,de,0
de_Ifnar1_Abcc5,Ifnar1,Abcc5,de,0
de_Ifnar1_Dlg3,Ifnar1,Dlg3,de,0
de_Ifnar1_Astn2,Ifnar1,Astn2,de,0
de_Ifnar1_4933431E20Rik,Ifnar1,4933431E20Rik,de,0
de_Igbp1_Sqstm1,Igbp1,Sqstm1,de,1
de_Igbp1_Spryd7,Igbp1,Spryd7,de,1
de_Igbp1_Scrn3,Igbp1,Scrn3,de,0
de_Igbp1_Irf2bpl,Igbp1,Irf2bpl,de,0
de_Igbp1_Abce1,Igbp1,Abce1,de,0
de_Igbp1_Firre,Igbp1,Firre,de,0
de_Igbp1_E130307A14Rik,Igbp1,E130307A14Rik,de,0
de_Jtb_Rabac1,Jtb,Rabac1,de,1
de_Jtb_Cxcl2,Jtb,Cxcl2,de,1
de_Jtb_4833419F23Rik,Jtb,4833419F23Rik,de,0
de_Jtb_Ebna1bp2,Jtb,Ebna1bp2,de,0
de_Jtb_1700011B04Rik,Jtb,1700011B04Rik,de,0
de_Jtb_Trp53rkb,Jtb,Trp53rkb,de,0
de_Jtb_Lrch1,Jtb,Lrch1,de,0
de_Junb_AA467197,Junb,AA467197,de,1
de_Junb_Ptpn1,Junb,Ptpn1,de,1
de_Junb_Arid5b,Junb,Arid5b,de,0
de_Junb_Mapkapk2,Junb,Mapkapk2,de,0
de_Junb_Bok,Junb,Bok,de,0
de_Junb_Tent5a,Junb,Tent5a,de,0
de_Junb_Tmem65,Junb,Tmem65,de,0
de_Kars_Fndc3a,Kars,Fndc3a,de,1
de_Kars_Cd72,Kars,Cd72,de,1
de_Kars_Eif4ebp1,Kars,Eif4ebp1,de,0
de_Kars_Gm57390,Kars,Gm57390,de,0
de_Kars_Acaa1b,Kars,Acaa1b,de,0
de_Kars_Ch25h,Kars,Ch25h,de,0
de_Kars_Prdx2,Kars,Prdx2,de,0
de_Maea_Ptma,Maea,Ptma,de,1
de_Maea_Pnp,Maea,Pnp,de,1
de_Maea_Gorab,Maea,Gorab,de,0
de_Maea_Dusp6,Maea,Dusp6,de,0
de_Maea_Gys1,Maea,Gys1,de,0
de_Maea_Bnip3,Maea,Bnip3,de,0
de_Maea_Adam28,Maea,Adam28,de,0
de_Mafb_C1qc,Mafb,C1qc,de,1
de_Mafb_Ms4a7,Mafb,Ms4a7,de,1
de_Mafb_Dmtn,Mafb,Dmtn,de,0
de_Mafb_Oat,Mafb,Oat,de,0
de_Mafb_Pde12,Mafb,Pde12,de,0
de_Mafb_Wdr83,Mafb,Wdr83,de,0
de_Mafb_Idi1,Mafb,Idi1,de,0
de_Map3k8_Clec4d,Map3k8,Clec4d,de,1
de_Map3k8_Itga4,Map3k8,Itga4,de,1
de_Map3k8_Fam53c,Map3k8,Fam53c,de,0
de_Map3k8_C430049B03Rik,Map3k8,C430049B03Rik,de,0
de_Map3k8_Fkbp7,Map3k8,Fkbp7,de,0
de_Map3k8_Rif1,Map3k8,Rif1,de,0
de_Map3k8_Fas,Map3k8,Fas,de,0
de_Mms22l_Mt1,Mms22l,Mt1,de,1
de_Mms22l_Itgb8,Mms22l,Itgb8,de,1
de_Mms22l_Ndnf,Mms22l,Ndnf,de,0
de_Mms22l_Adam3,Mms22l,Adam3,de,0
de_Mms22l_Osgepl1,Mms22l,Osgepl1,de,0
de_Mms22l_Nop16,Mms22l,Nop16,de,0
de_Mms22l_Rb1,Mms22l,Rb1,de,0
de_Mnt_Gsto1,Mnt,Gsto1,de,1
de_Mnt_Ninj1,Mnt,Ninj1,de,1
de_Mnt_Npas4,Mnt,Npas4,de,0
de_Mnt_Gm57146,Mnt,Gm57146,de,0
de_Mnt_Klf2,Mnt,Klf2,de,0
de_Mnt_Trnp1,Mnt,Trnp1,de,0
de_Mnt_Etfb,Mnt,Etfb,de,0
de_Mphosph10_Actg1,Mphosph10,Actg1,de,1
de_Mphosph10_Ifih1,Mphosph10,Ifih1,de,1
de_Mphosph10_ENSMUSG00000121513,Mphosph10,ENSMUSG00000121513,de,0
de_Mphosph10_Gm35188,Mphosph10,Gm35188,de,0
de_Mphosph10_ENSMUSG00000121487,Mphosph10,ENSMUSG00000121487,de,0
de_Mphosph10_Ago1,Mphosph10,Ago1,de,0
de_Mphosph10_Tcp11l1,Mphosph10,Tcp11l1,de,0
de_Nfkbiz_Serp1,Nfkbiz,Serp1,de,1
de_Nfkbiz_Psma6,Nfkbiz,Psma6,de,1
de_Nfkbiz_Sigmar1,Nfkbiz,Sigmar1,de,0
de_Nfkbiz_Topbp1,Nfkbiz,Topbp1,de,0
de_Nfkbiz_Gm36457,Nfkbiz,Gm36457,de,0
de_Nfkbiz_Dipk2a,Nfkbiz,Dipk2a,de,0
de_Nfkbiz_Vps51,Nfkbiz,Vps51,de,0
de_Nfyc_Lgals1,Nfyc,Lgals1,de,1
de_Nfyc_BC051226,Nfyc,BC051226,de,1
de_Nfyc_Ric8a,Nfyc,Ric8a,de,0
de_Nfyc_Rad50,Nfyc,Rad50,de,0
de_Nfyc_Zfp120,Nfyc,Zfp120,de,0
de_Nfyc_Zmym4,Nfyc,Zmym4,de,0
de_Nfyc_4930547M16Rik,Nfyc,4930547M16Rik,de,0
de_Nipbl_Creg1,Nipbl,Creg1,de,1
de_Nipbl_Psma6,Nipbl,Psma6,de,1
de_Nipbl_Gpr137c,Nipbl,Gpr137c,de,0
de_Nipbl_Ms4a7,Nipbl,Ms4a7,de,0
de_Nipbl_Ndst3,Nipbl,Ndst3,de,0
de_Nipbl_Plekhn1,Nipbl,Plekhn1,de,0
de_Nipbl_Dera,Nipbl,Dera,de,0
de_Pafah1b1_Ass1,Pafah1b1,Ass1,de,1
de_Pafah1b1_Cd274,Pafah1b1,Cd274,de,1
de_Pafah1b1_Qrich1,Pafah1b1,Qrich1,de,0
de_Pafah1b1_Gm49959,Pafah1b1,Gm49959,de,0
de_Pafah1b1_Lima1,Pafah1b1,Lima1,de,0
de_Pafah1b1_Mgll,Pafah1b1,Mgll,de,0
de_Pafah1b1_Gm33103,Pafah1b1,Gm33103,de,0
de_Pak2_Gpnmb,Pak2,Gpnmb,de,1
de_Pak2_Mmp12,Pak2,Mmp12,de,1
de_Pak2_Rasgrp1,Pak2,Rasgrp1,de,0
de_Pak2_Il11ra1,Pak2,Il11ra1,de,0
de_Pak2_Ppp1r9b,Pak2,Ppp1r9b,de,0
de_Pak2_H2-T22,Pak2,H2-T22,de,0
de_Pak2_Ktn1,Pak2,Ktn1,de,0
de_Pbrm1_Camkk2,Pbrm1,Camkk2,de,1
de_Pbrm1_Uchl1,Pbrm1,Uchl1,de,1
de_Pbrm1_Creld2,Pbrm1,Creld2,de,0
de_Pbrm1_Nup37,Pbrm1,Nup37,de,0
de_Pbrm1_Wwc2,Pbrm1,Wwc2,de,0
de_Pbrm1_Rbfox2,Pbrm1,Rbfox2,de,0
de_Pbrm1_Nedd4l,Pbrm1,Nedd4l,de,0
de_Polr2j_Creg1,Polr2j,Creg1,de,1
de_Polr2j_Saa3,Polr2j,Saa3,de,1
de_Polr2j_Gm37768,Polr2j,Gm37768,de,0
de_Polr2j_Gm57394,Polr2j,Gm57394,de,0
de_Polr2j_Crtam,Polr2j,Crtam,de,0
de_Polr2j_Ago1,Polr2j,Ago1,de,0
de_Polr2j_Abca8b,Polr2j,Abca8b,de,0
de_Ppcs_Abcg1,Ppcs,Abcg1,de,1
de_Ppcs_Pdia6,Ppcs,Pdia6,de,1
de_Ppcs_Tra2a,Ppcs,Tra2a,de,0
de_Ppcs_Shfl,Ppcs,Shfl,de,0
de_Ppcs_Mcc,Ppcs,Mcc,de,0
de_Ppcs_Trps1,Ppcs,Trps1,de,0
de_Ppcs_Cdkal1,Ppcs,Cdkal1,de,0
de_Ppie_Lgals3,Ppie,Lgals3,de,1
de_Ppie_Nrp2,Ppie,Nrp2,de,1
de_Ppie_Klc1,Ppie,Klc1,de,0
de_Ppie_F7,Ppie,F7,de,0
de_Ppie_Wdr3,Ppie,Wdr3,de,0
de_Ppie_Zc3h12c,Ppie,Zc3h12c,de,0
de_Ppie_Idh3a,Ppie,Idh3a,de,0
de_Ptpa_Hmga1,Ptpa,Hmga1,de,1
de_Ptpa_S100a10,Ptpa,S100a10,de,1
de_Ptpa_Snn,Ptpa,Snn,de,0
de_Ptpa_Akt3,Ptpa,Akt3,de,0
de_Ptpa_Terf2ip,Ptpa,Terf2ip,de,0
de_Ptpa_Cyb5d2,Ptpa,Cyb5d2,de,0
de_Ptpa_Sema4c,Ptpa,Sema4c,de,0
de_Ptpn11_Alox5ap,Ptpn11,Alox5ap,de,1
de_Ptpn11_Ms4a7,Ptpn11,Ms4a7,de,1
de_Ptpn11_Tbc1d19,Ptpn11,Tbc1d19,de,0
de_Ptpn11_Junos,Ptpn11,Junos,de,0
de_Ptpn11_Ubr3,Ptpn11,Ubr3,de,0
de_Ptpn11_Aifm1,Ptpn11,Aifm1,de,0
de_Ptpn11_4933405D12Rik,Ptpn11,4933405D12Rik,de,0
de_Ptpn2_Cxcl9,Ptpn2,Cxcl9,de,1
de_Ptpn2_Irf8,Ptpn2,Irf8,de,1
de_Ptpn2_Ndrg4,Ptpn2,Ndrg4,de,0
de_Ptpn2_Mblac2,Ptpn2,Mblac2,de,0
de_Ptpn2_B930036N10Rik,Ptpn2,B930036N10Rik,de,0
de_Ptpn2_Parp8,Ptpn2,Parp8,de,0
de_Ptpn2_Cd244a,Ptpn2,Cd244a,de,0
de_Rela_Clec4e,Rela,Clec4e,de,1
de_Rela_Acod1,Rela,Acod1,de,1
de_Rela_Depdc1b,Rela,Depdc1b,de,0
de_Rela_Lsm8,Rela,Lsm8,de,0
de_Rela_Gm13270,Rela,Gm13270,de,0
de_Rela_Abce1,Rela,Abce1,de,0
de_Rela_A430018G15Rik,Rela,A430018G15Rik,de,0
de_Rhbdf2_Mmp12,Rhbdf2,Mmp12,de,1
de_Rhbdf2_Plaur,Rhbdf2,Plaur,de,1
de_Rhbdf2_Cluh,Rhbdf2,Cluh,de,0
de_Rhbdf2_Gm15232,Rhbdf2,Gm15232,de,0
de_Rhbdf2_Top2a,Rhbdf2,Top2a,de,0
de_Rhbdf2_Mamdc2,Rhbdf2,Mamdc2,de,0
de_Rhbdf2_Cbx4,Rhbdf2,Cbx4,de,0
de_Rheb_Gda,Rheb,Gda,de,1
de_Rheb_Lgals1,Rheb,Lgals1,de,1
de_Rheb_Serinc2,Rheb,Serinc2,de,0
de_Rheb_Comp,Rheb,Comp,de,0
de_Rheb_Sult2b1,Rheb,Sult2b1,de,0
de_Rheb_Ina,Rheb,Ina,de,0
de_Rheb_Sfmbt2,Rheb,Sfmbt2,de,0
de_Rps5_1110038B12Rik,Rps5,1110038B12Rik,de,1
de_Rps5_Ifih1,Rps5,Ifih1,de,1
de_Rps5_Fcrl5,Rps5,Fcrl5,de,0
de_Rps5_Dnajc3,Rps5,Dnajc3,de,0
de_Rps5_Polr1g,Rps5,Polr1g,de,0
de_Rps5_Borcs5,Rps5,Borcs5,de,0
de_Rps5_Gm26672,Rps5,Gm26672,de,0
de_Rptor_Dock10,Rptor,Dock10,de,1
de_Rptor_Mpeg1,Rptor,Mpeg1,de,1
de_Rptor_Dgkz,Rptor,Dgkz,de,0
de_Rptor_Gm48780,Rptor,Gm48780,de,0
de_Rptor_Aldh1l2,Rptor,Aldh1l2,de,0
de_Rptor_S100a11,Rptor,S100a11,de,0
de_Rptor_Hip1r,Rptor,Hip1r,de,0
de_Rraga_Psap,Rraga,Psap,de,1
de_Rraga_Cd63,Rraga,Cd63,de,1
de_Rraga_Gm56970,Rraga,Gm56970,de,0
de_Rraga_Cped1,Rraga,Cped1,de,0
de_Rraga_Slc25a4,Rraga,Slc25a4,de,0
de_Rraga_Endod1,Rraga,Endod1,de,0
de_Rraga_Gmnn,Rraga,Gmnn,de,0
de_Setd2_Glrx,Setd2,Glrx,de,1
de_Setd2_Mmp12,Setd2,Mmp12,de,1
de_Setd2_Creb3l1,Setd2,Creb3l1,de,0
de_Setd2_Tmem87b,Setd2,Tmem87b,de,0
de_Setd2_Creld2,Setd2,Creld2,de,0
de_Setd2_Jag2,Setd2,Jag2,de,0
de_Setd2_Pstpip2,Setd2,Pstpip2,de,0
de_Sfpq_Pdzk1ip1,Sfpq,Pdzk1ip1,de,1
de_Sfpq_Ctsh,Sfpq,Ctsh,de,1
de_Sfpq_Gm16124,Sfpq,Gm16124,de,0
de_Sfpq_Ralgapa2,Sfpq,Ralgapa2,de,0
de_Sfpq_Ccnf,Sfpq,Ccnf,de,0
de_Sfpq_Gm32816,Sfpq,Gm32816,de,0
de_Sfpq_Glo1,Sfpq,Glo1,de,0
de_Sgms1_Mmp12,Sgms1,Mmp12,de,1
de_Sgms1_Tgfbr1,Sgms1,Tgfbr1,de,1
de_Sgms1_Macf1,Sgms1,Macf1,de,0
de_Sgms1_Hk3,Sgms1,Hk3,de,0
de_Sgms1_Gm43445,Sgms1,Gm43445,de,0
de_Sgms1_Gm56944,Sgms1,Gm56944,de,0
de_Sgms1_Rab13,Sgms1,Rab13,de,0
de_Spout1_Cd69,Spout1,Cd69,de,1
de_Spout1_Cdkn1a,Spout1,Cdkn1a,de,1
de_Spout1_Itga9,Spout1,Itga9,de,0
de_Spout1_Gm26698,Spout1,Gm26698,de,0
de_Spout1_Mrpl16,Spout1,Mrpl16,de,0
de_Spout1_Scaf8,Spout1,Scaf8,de,0
de_Spout1_Mx2,Spout1,Mx2,de,0
de_Sptlc1_B4galt5,Sptlc1,B4galt5,de,1
de_Sptlc1_Nos2,Sptlc1,Nos2,de,1
de_Sptlc1_Cradd,Sptlc1,Cradd,de,0
de_Sptlc1_Glipr2,Sptlc1,Glipr2,de,0
de_Sptlc1_Farp2,Sptlc1,Farp2,de,0
de_Sptlc1_Rnf126,Sptlc1,Rnf126,de,0
de_Sptlc1_Dnd1,Sptlc1,Dnd1,de,0
de_Sptssa_Blvrb,Sptssa,Blvrb,de,1
de_Sptssa_Rnf145,Sptssa,Rnf145,de,1
de_Sptssa_Grk6,Sptssa,Grk6,de,0
de_Sptssa_Tusc3,Sptssa,Tusc3,de,0
de_Sptssa_Usp37,Sptssa,Usp37,de,0
de_Sptssa_4933424G05Rik,Sptssa,4933424G05Rik,de,0
de_Sptssa_Slfn5,Sptssa,Slfn5,de,0
de_Taf5l_Hmox1,Taf5l,Hmox1,de,1
de_Taf5l_Igf1,Taf5l,Igf1,de,1
de_Taf5l_Tsc1,Taf5l,Tsc1,de,0
de_Taf5l_Nck2,Taf5l,Nck2,de,0
de_Taf5l_Ccdc191,Taf5l,Ccdc191,de,0
de_Taf5l_Mtmr3,Taf5l,Mtmr3,de,0
de_Taf5l_Gm57272,Taf5l,Gm57272,de,0
de_Tardbp_Mx1,Tardbp,Mx1,de,1
de_Tardbp_C3,Tardbp,C3,de,1
de_Tardbp_Anapc11,Tardbp,Anapc11,de,0
de_Tardbp_Phf14,Tardbp,Phf14,de,0
de_Tardbp_Pdpn,Tardbp,Pdpn,de,0
de_Tardbp_Lsm11,Tardbp,Lsm11,de,0
de_Tardbp_Mxd3,Tardbp,Mxd3,de,0
de_Tbc1d10b_Lgals3,Tbc1d10b,Lgals3,de,1
de_Tbc1d10b_Gpnmb,Tbc1d10b,Gpnmb,de,1
de_Tbc1d10b_Gm56868,Tbc1d10b,Gm56868,de,0
de_Tbc1d10b_Arhgap8,Tbc1d10b,Arhgap8,de,0
de_Tbc1d10b_Gbp8,Tbc1d10b,Gbp8,de,0
de_Tbc1d10b_Cyp4v3,Tbc1d10b,Cyp4v3,de,0
de_Tbc1d10b_Zmat3,Tbc1d10b,Zmat3,de,0
de_Tpr_Sec11c,Tpr,Sec11c,de,1
de_Tpr_Resf1,Tpr,Resf1,de,1
de_Tpr_Zfp511,Tpr,Zfp511,de,0
de_Tpr_Dapk1,Tpr,Dapk1,de,0
de_Tpr_Rftn2,Tpr,Rftn2,de,0
de_Tpr_Adamtsl4,Tpr,Adamtsl4,de,0
de_Tpr_Atp9b,Tpr,Atp9b,de,0
de_Tpt1_Aif1,Tpt1,Aif1,de,1
de_Tpt1_Hmox1,Tpt1,Hmox1,de,1
de_Tpt1_Dpys,Tpt1,Dpys,de,0
de_Tpt1_Fn3krp,Tpt1,Fn3krp,de,0
de_Tpt1_Cep55,Tpt1,Cep55,de,0
de_Tpt1_B230369F24Rik,Tpt1,B230369F24Rik,de,0
de_Tpt1_Or5b21,Tpt1,Or5b21,de,0
de_Traf2_Mmp9,Traf2,Mmp9,de,1
de_Traf2_Ctsk,Traf2,Ctsk,de,1
de_Traf2_Acta1,Traf2,Acta1,de,0
de_Traf2_Meig1,Traf2,Meig1,de,0
de_Traf2_Tsc22d3,Traf2,Tsc22d3,de,0
de_Traf2_Siah1a,Traf2,Siah1a,de,0
de_Traf2_2210016L21Rik,Traf2,2210016L21Rik,de,0
